lid,year,x,y,event,trigger,area_ha
bg_121,0,255602.1,2775188.4,BG,BG,0
bg_122,0,191260.4,2692152.9,BG,BG,0
bg_123,0,198214.6,2570398.6,BG,BG,0
bg_124,0,285681.4,2533998.9,BG,BG,0
bg_125,0,213867.8,2705708.5,BG,BG,0
bg_126,0,164653.7,2594148.5,BG,BG,0
bg_127,0,351687.8,2798516.7,BG,BG,0
bg_128,0,164798.7,2500998.6,BG,BG,0
bg_129,0,203570.5,2774638.6,BG,BG,0
bg_130,0,327934.6,2754122.7,BG,BG,0
bg_131,0,224644.5,2479943.8,BG,BG,0
bg_132,0,318416.5,2687345.2,BG,BG,0
bg_133,0,273558.9,2795148.6,BG,BG,0
bg_134,0,282103.2,2422972.8,BG,BG,0
bg_135,0,315055.0,2533763.9,BG,BG,0
bg_136,0,284004.5,2776793.4,BG,BG,0
bg_137,0,177126.8,2463862.9,BG,BG,0
bg_138,0,171621.3,2630225.0,BG,BG,0
bg_139,0,205014.3,2649835.3,BG,BG,0
bg_140,0,294957.7,2497367.0,BG,BG,0
bg_141,0,278116.1,2520313.9,BG,BG,0
bg_142,0,248683.4,2764027.9,BG,BG,0
bg_143,0,320913.0,2455073.4,BG,BG,0
bg_144,0,235562.3,2525138.5,BG,BG,0
bg_145,0,150716.2,2713025.3,BG,BG,0
bg_146,0,278696.9,2519543.0,BG,BG,0
bg_147,0,299728.6,2629638.6,BG,BG,0
bg_148,0,236392.8,2423674.5,BG,BG,0
bg_149,0,165199.3,2755580.4,BG,BG,0
bg_150,0,332593.6,2627324.3,BG,BG,0
bg_151,0,318588.2,2641353.6,BG,BG,0
bg_152,0,179914.9,2468429.3,BG,BG,0
bg_153,0,212268.2,2761613.0,BG,BG,0
bg_154,0,310816.7,2747067.0,BG,BG,0
bg_155,0,331582.8,2499829.1,BG,BG,0
bg_156,0,200405.0,2459061.6,BG,BG,0
bg_157,0,307583.5,2755971.2,BG,BG,0
bg_158,0,232088.2,2655851.4,BG,BG,0
bg_159,0,181219.8,2773354.8,BG,BG,0
bg_160,0,324650.4,2790958.3,BG,BG,0
bg_161,0,313775.9,2754938.2,BG,BG,0
bg_162,0,155006.8,2699894.5,BG,BG,0
bg_163,0,217101.5,2773710.0,BG,BG,0
bg_164,0,312051.5,2748344.3,BG,BG,0
bg_165,0,313771.4,2521386.2,BG,BG,0
bg_166,0,309049.7,2461076.3,BG,BG,0
bg_167,0,326177.7,2746265.4,BG,BG,0
bg_168,0,194931.6,2730302.9,BG,BG,0
bg_169,0,242981.3,2535972.5,BG,BG,0
bg_170,0,310659.8,2506486.3,BG,BG,0
bg_171,0,154780.2,2493389.3,BG,BG,0
bg_172,0,216308.9,2748454.1,BG,BG,0
bg_173,0,345311.6,2526067.5,BG,BG,0
bg_174,0,279579.3,2571877.8,BG,BG,0
bg_175,0,348192.2,2623762.0,BG,BG,0
bg_176,0,339725.9,2463829.9,BG,BG,0
bg_177,0,346020.9,2487855.8,BG,BG,0
bg_178,0,344431.9,2520877.2,BG,BG,0
bg_179,0,171897.3,2585134.2,BG,BG,0
bg_180,0,297166.1,2539197.4,BG,BG,0
bg_181,0,272454.2,2614340.8,BG,BG,0
bg_182,0,227809.5,2639103.5,BG,BG,0
bg_183,0,201453.9,2689338.4,BG,BG,0
bg_184,0,150341.6,2771718.6,BG,BG,0
bg_185,0,258767.3,2693383.4,BG,BG,0
bg_186,0,299873.9,2674838.8,BG,BG,0
bg_187,0,223572.7,2446590.0,BG,BG,0
bg_188,0,284176.0,2545476.0,BG,BG,0
bg_189,0,213411.0,2742245.8,BG,BG,0
bg_190,0,295390.4,2534122.5,BG,BG,0
bg_191,0,212475.5,2575189.3,BG,BG,0
bg_192,0,231284.9,2532349.0,BG,BG,0
bg_193,0,175712.1,2579769.6,BG,BG,0
bg_194,0,339953.5,2677380.8,BG,BG,0
bg_195,0,332366.7,2653895.7,BG,BG,0
bg_196,0,210791.9,2628216.1,BG,BG,0
bg_197,0,150082.0,2529027.2,BG,BG,0
bg_198,0,236837.4,2640394.2,BG,BG,0
bg_199,0,282250.5,2596695.5,BG,BG,0
bg_200,0,239316.3,2501206.5,BG,BG,0
bg_201,0,245583.6,2762448.7,BG,BG,0
bg_202,0,310797.0,2484482.7,BG,BG,0
bg_203,0,167128.7,2615871.8,BG,BG,0
bg_204,0,277854.1,2547371.5,BG,BG,0
bg_205,0,315321.5,2705432.5,BG,BG,0
bg_206,0,285904.7,2505363.5,BG,BG,0
bg_207,0,190224.2,2429281.6,BG,BG,0
bg_208,0,199458.2,2600551.8,BG,BG,0
bg_209,0,321647.0,2447674.7,BG,BG,0
bg_210,0,233717.1,2659310.8,BG,BG,0
bg_211,0,189275.9,2684614.6,BG,BG,0
bg_212,0,249864.2,2512714.1,BG,BG,0
bg_213,0,282523.7,2422107.0,BG,BG,0
bg_214,0,301694.8,2712617.6,BG,BG,0
bg_215,0,171530.6,2581555.6,BG,BG,0
bg_216,0,185529.1,2784027.1,BG,BG,0
bg_217,0,254627.5,2439083.0,BG,BG,0
bg_218,0,200338.1,2742367.8,BG,BG,0
bg_219,0,242205.3,2724538.3,BG,BG,0
bg_220,0,284850.7,2795399.1,BG,BG,0
bg_221,0,270281.4,2781015.1,BG,BG,0
bg_222,0,330068.0,2652807.9,BG,BG,0
bg_223,0,295293.3,2611815.7,BG,BG,0
bg_224,0,317775.0,2628191.3,BG,BG,0
bg_225,0,331236.0,2702589.1,BG,BG,0
bg_226,0,245884.2,2518492.8,BG,BG,0
bg_227,0,199942.4,2662311.3,BG,BG,0
bg_228,0,304694.4,2618093.9,BG,BG,0
bg_229,0,276603.2,2524347.0,BG,BG,0
bg_230,0,165651.6,2528576.7,BG,BG,0
bg_231,0,204886.5,2541489.6,BG,BG,0
bg_232,0,259110.7,2472582.1,BG,BG,0
bg_233,0,196714.8,2683700.9,BG,BG,0
bg_234,0,292696.7,2444407.0,BG,BG,0
bg_235,0,232335.1,2626192.2,BG,BG,0
bg_236,0,233986.4,2498597.1,BG,BG,0
bg_237,0,234869.0,2763838.6,BG,BG,0
bg_238,0,267984.0,2684298.7,BG,BG,0
bg_239,0,323059.9,2710925.9,BG,BG,0
bg_240,0,226837.0,2422240.5,BG,BG,0
bg_241,0,221055.3,2706320.5,BG,BG,0
bg_242,0,322396.5,2782303.5,BG,BG,0
bg_243,0,234642.3,2704056.0,BG,BG,0
bg_244,0,260318.7,2649236.0,BG,BG,0
bg_245,0,194548.8,2503380.2,BG,BG,0
bg_246,0,238038.9,2431029.4,BG,BG,0
bg_247,0,217898.2,2678073.9,BG,BG,0
bg_248,0,231672.0,2482717.0,BG,BG,0
bg_249,0,244412.8,2468498.6,BG,BG,0
bg_250,0,275695.9,2430247.3,BG,BG,0
bg_251,0,229592.1,2634469.0,BG,BG,0
bg_252,0,155474.6,2664244.9,BG,BG,0
bg_253,0,177411.3,2595445.4,BG,BG,0
bg_254,0,160157.5,2564059.5,BG,BG,0
bg_255,0,192755.4,2544201.4,BG,BG,0
bg_256,0,303768.4,2564068.0,BG,BG,0
bg_257,0,301906.0,2736131.2,BG,BG,0
bg_258,0,200958.8,2451124.4,BG,BG,0
bg_259,0,153915.4,2624979.2,BG,BG,0
bg_260,0,351981.4,2552984.9,BG,BG,0
bg_261,0,281329.1,2716868.6,BG,BG,0
bg_262,0,281654.4,2706608.6,BG,BG,0
bg_263,0,341821.6,2495757.1,BG,BG,0
bg_264,0,154116.8,2477905.3,BG,BG,0
bg_265,0,175496.6,2674394.4,BG,BG,0
bg_266,0,263921.9,2502826.5,BG,BG,0
bg_267,0,291291.9,2711421.3,BG,BG,0
bg_268,0,183893.4,2650754.0,BG,BG,0
bg_269,0,301081.0,2463522.5,BG,BG,0
bg_270,0,315498.8,2786593.9,BG,BG,0
bg_271,0,171835.9,2429757.8,BG,BG,0
bg_272,0,213015.4,2677392.0,BG,BG,0
bg_273,0,343550.9,2570728.7,BG,BG,0
bg_274,0,294433.0,2448878.7,BG,BG,0
bg_275,0,289504.1,2658352.1,BG,BG,0
bg_276,0,170584.1,2713542.7,BG,BG,0
bg_277,0,321759.2,2648156.4,BG,BG,0
bg_278,0,174453.1,2793860.9,BG,BG,0
bg_279,0,308092.3,2551937.4,BG,BG,0
bg_280,0,236532.4,2560816.9,BG,BG,0
bg_281,0,252204.1,2549667.8,BG,BG,0
bg_282,0,321614.3,2732485.7,BG,BG,0
bg_283,0,171318.9,2785099.3,BG,BG,0
bg_284,0,278388.2,2734908.8,BG,BG,0
bg_285,0,292876.3,2585485.1,BG,BG,0
bg_286,0,298226.7,2786880.0,BG,BG,0
bg_287,0,204556.6,2727115.7,BG,BG,0
bg_288,0,258710.9,2603729.1,BG,BG,0
bg_289,0,237986.0,2697790.0,BG,BG,0
bg_290,0,204215.9,2743651.0,BG,BG,0
bg_291,0,317807.7,2452931.9,BG,BG,0
bg_292,0,328089.5,2512668.1,BG,BG,0
bg_293,0,243871.1,2651926.0,BG,BG,0
bg_294,0,226555.8,2430906.0,BG,BG,0
bg_295,0,321892.5,2489099.1,BG,BG,0
bg_296,0,192848.2,2723176.3,BG,BG,0
bg_297,0,218748.4,2754521.6,BG,BG,0
bg_298,0,291639.1,2524982.1,BG,BG,0
bg_299,0,152050.5,2780263.8,BG,BG,0
bg_300,0,167293.8,2693628.4,BG,BG,0
bg_301,0,248692.7,2708102.6,BG,BG,0
bg_302,0,289503.1,2665443.1,BG,BG,0
bg_303,0,249145.9,2721314.5,BG,BG,0
bg_304,0,168796.8,2504206.6,BG,BG,0
bg_305,0,289741.0,2536358.3,BG,BG,0
bg_306,0,267474.2,2599839.0,BG,BG,0
bg_307,0,257246.2,2581691.4,BG,BG,0
bg_308,0,300679.0,2545700.7,BG,BG,0
bg_309,0,291976.7,2522948.2,BG,BG,0
bg_310,0,200783.5,2465849.2,BG,BG,0
bg_311,0,188902.0,2465430.8,BG,BG,0
bg_312,0,258244.5,2709632.1,BG,BG,0
bg_313,0,187400.3,2502226.2,BG,BG,0
bg_314,0,247808.1,2695342.3,BG,BG,0
bg_315,0,347274.6,2619362.0,BG,BG,0
bg_316,0,207165.7,2458199.9,BG,BG,0
bg_317,0,189211.8,2506443.6,BG,BG,0
bg_318,0,186247.2,2425376.4,BG,BG,0
bg_319,0,257895.3,2524238.3,BG,BG,0
bg_320,0,346807.6,2630276.4,BG,BG,0
bg_321,0,290878.3,2467986.2,BG,BG,0
bg_322,0,325429.2,2606533.9,BG,BG,0
bg_323,0,326289.4,2638144.4,BG,BG,0
bg_324,0,244818.2,2587378.1,BG,BG,0
bg_325,0,187241.5,2439523.2,BG,BG,0
bg_326,0,340094.8,2601537.1,BG,BG,0
bg_327,0,316067.4,2572268.8,BG,BG,0
bg_328,0,164964.6,2659189.4,BG,BG,0
bg_329,0,160829.0,2476695.1,BG,BG,0
bg_330,0,263693.6,2535457.5,BG,BG,0
bg_331,0,350771.5,2465011.6,BG,BG,0
bg_332,0,304417.6,2650400.7,BG,BG,0
bg_333,0,309729.6,2505761.1,BG,BG,0
bg_334,0,255559.7,2591195.5,BG,BG,0
bg_335,0,239429.6,2746863.3,BG,BG,0
bg_336,0,349986.3,2536044.5,BG,BG,0
bg_337,0,275447.5,2651659.7,BG,BG,0
bg_338,0,299498.0,2780084.3,BG,BG,0
bg_339,0,191973.2,2500189.6,BG,BG,0
bg_340,0,283406.5,2479681.7,BG,BG,0
bg_341,0,185110.3,2448524.7,BG,BG,0
bg_342,0,150540.5,2591191.4,BG,BG,0
bg_343,0,269949.9,2530678.5,BG,BG,0
bg_344,0,196758.2,2688643.2,BG,BG,0
bg_345,0,292003.5,2592531.9,BG,BG,0
bg_346,0,288851.8,2771086.2,BG,BG,0
bg_347,0,309141.3,2657522.0,BG,BG,0
bg_348,0,283559.0,2774794.0,BG,BG,0
bg_349,0,235878.1,2626933.7,BG,BG,0
bg_350,0,280822.2,2765196.3,BG,BG,0
bg_351,0,316979.5,2447135.7,BG,BG,0
bg_352,0,183516.4,2536892.5,BG,BG,0
bg_353,0,301289.5,2636298.7,BG,BG,0
bg_354,0,208299.3,2467254.4,BG,BG,0
bg_355,0,289113.0,2685898.8,BG,BG,0
bg_356,0,340420.6,2610179.4,BG,BG,0
bg_357,0,249746.6,2450567.9,BG,BG,0
bg_358,0,158051.9,2584170.9,BG,BG,0
bg_359,0,215109.0,2515139.8,BG,BG,0
bg_360,0,168448.0,2785526.2,BG,BG,0
bg_361,0,318863.6,2638575.7,BG,BG,0
bg_362,0,342058.8,2799837.5,BG,BG,0
bg_363,0,285800.9,2522414.2,BG,BG,0
bg_364,0,158126.8,2707382.2,BG,BG,0
bg_365,0,245041.2,2667573.6,BG,BG,0
bg_366,0,335046.7,2488965.9,BG,BG,0
bg_367,0,268236.6,2661218.2,BG,BG,0
bg_368,0,249328.6,2454672.1,BG,BG,0
bg_369,0,220288.1,2546657.2,BG,BG,0
bg_370,0,285367.0,2745938.6,BG,BG,0
bg_371,0,216620.3,2683596.0,BG,BG,0
bg_372,0,208220.0,2779173.5,BG,BG,0
bg_373,0,314340.3,2629036.7,BG,BG,0
bg_374,0,241874.8,2539516.5,BG,BG,0
bg_375,0,215301.3,2788670.2,BG,BG,0
bg_376,0,231643.4,2615546.6,BG,BG,0
bg_377,0,349600.1,2669910.9,BG,BG,0
bg_378,0,259603.9,2577034.1,BG,BG,0
bg_379,0,187891.7,2557476.2,BG,BG,0
bg_380,0,302801.5,2657655.3,BG,BG,0
bg_381,0,303518.1,2497352.1,BG,BG,0
bg_382,0,260942.4,2772515.6,BG,BG,0
bg_383,0,238499.5,2685335.0,BG,BG,0
bg_384,0,174528.1,2789795.8,BG,BG,0
bg_385,0,272992.1,2510933.0,BG,BG,0
bg_386,0,181992.4,2629318.8,BG,BG,0
bg_387,0,261554.8,2455419.5,BG,BG,0
bg_388,0,350435.9,2766913.4,BG,BG,0
bg_389,0,243212.5,2464637.1,BG,BG,0
bg_390,0,318092.9,2609382.7,BG,BG,0
bg_391,0,294753.9,2613371.4,BG,BG,0
bg_392,0,205231.8,2737195.1,BG,BG,0
bg_393,0,348009.4,2512617.7,BG,BG,0
bg_394,0,261355.5,2565762.7,BG,BG,0
bg_395,0,336217.4,2613131.5,BG,BG,0
bg_396,0,327623.9,2748330.2,BG,BG,0
bg_397,0,205802.0,2720202.3,BG,BG,0
bg_398,0,233818.4,2775014.4,BG,BG,0
bg_399,0,252563.0,2731808.8,BG,BG,0
bg_400,0,207133.5,2533451.2,BG,BG,0
bg_401,0,268561.4,2799582.9,BG,BG,0
bg_402,0,248907.4,2476466.3,BG,BG,0
bg_403,0,258793.3,2551147.1,BG,BG,0
bg_404,0,261487.3,2626503.4,BG,BG,0
bg_405,0,241979.6,2542275.4,BG,BG,0
bg_406,0,188107.8,2685049.4,BG,BG,0
bg_407,0,265503.1,2508753.7,BG,BG,0
bg_408,0,306660.0,2436586.0,BG,BG,0
bg_409,0,300430.4,2687986.6,BG,BG,0
bg_410,0,313904.6,2566709.9,BG,BG,0
bg_411,0,284065.1,2731884.1,BG,BG,0
bg_412,0,348125.3,2608224.9,BG,BG,0
bg_413,0,157478.0,2610870.6,BG,BG,0
bg_414,0,269216.4,2750486.1,BG,BG,0
bg_415,0,326586.5,2587316.4,BG,BG,0
bg_416,0,256242.1,2593632.7,BG,BG,0
bg_417,0,295933.7,2575791.9,BG,BG,0
bg_418,0,282265.8,2478657.3,BG,BG,0
bg_419,0,244837.1,2788297.4,BG,BG,0
bg_420,0,218389.4,2683227.7,BG,BG,0
bg_421,0,281267.0,2743670.8,BG,BG,0
bg_422,0,322172.9,2746550.0,BG,BG,0
bg_423,0,226761.9,2540331.2,BG,BG,0
bg_424,0,295180.9,2708572.7,BG,BG,0
bg_425,0,326221.4,2433641.7,BG,BG,0
bg_426,0,163821.0,2659841.2,BG,BG,0
bg_427,0,336027.7,2799021.9,BG,BG,0
bg_428,0,300846.8,2584909.2,BG,BG,0
bg_429,0,169885.5,2660824.2,BG,BG,0
bg_430,0,326261.0,2588597.8,BG,BG,0
bg_431,0,290188.2,2763301.1,BG,BG,0
bg_432,0,159290.2,2722534.5,BG,BG,0
bg_433,0,209260.3,2562439.6,BG,BG,0
bg_434,0,179405.1,2621843.2,BG,BG,0
bg_435,0,264317.5,2721157.4,BG,BG,0
bg_436,0,184336.7,2450008.0,BG,BG,0
bg_437,0,325909.6,2655489.9,BG,BG,0
bg_438,0,198647.6,2766875.0,BG,BG,0
bg_439,0,178909.8,2595237.0,BG,BG,0
bg_440,0,201303.4,2517024.1,BG,BG,0
bg_441,0,151898.3,2725760.6,BG,BG,0
bg_442,0,332044.3,2677492.1,BG,BG,0
bg_443,0,181911.1,2587857.3,BG,BG,0
bg_444,0,219804.3,2643277.2,BG,BG,0
bg_445,0,279065.6,2581237.4,BG,BG,0
bg_446,0,200519.8,2741215.5,BG,BG,0
bg_447,0,190241.8,2566183.4,BG,BG,0
bg_448,0,247608.0,2510138.2,BG,BG,0
bg_449,0,265528.4,2638428.5,BG,BG,0
bg_450,0,350523.8,2532187.7,BG,BG,0
bg_451,0,347544.8,2670127.3,BG,BG,0
bg_452,0,205445.0,2635053.0,BG,BG,0
bg_453,0,288531.5,2702974.2,BG,BG,0
bg_454,0,159906.9,2650434.5,BG,BG,0
bg_455,0,250338.9,2763579.0,BG,BG,0
bg_456,0,207811.2,2723566.8,BG,BG,0
bg_457,0,272627.1,2553882.0,BG,BG,0
bg_458,0,278596.8,2655938.6,BG,BG,0
bg_459,0,286908.4,2693952.8,BG,BG,0
bg_460,0,283154.7,2738568.1,BG,BG,0
bg_461,0,276906.1,2763293.4,BG,BG,0
bg_462,0,280560.8,2537394.5,BG,BG,0
bg_463,0,239046.3,2640238.0,BG,BG,0
bg_464,0,297936.7,2454250.7,BG,BG,0
bg_465,0,209612.3,2704042.7,BG,BG,0
bg_466,0,185479.3,2470220.7,BG,BG,0
bg_467,0,258960.4,2789166.0,BG,BG,0
bg_468,0,257232.2,2767125.1,BG,BG,0
bg_469,0,317755.5,2517648.6,BG,BG,0
bg_470,0,316587.3,2603102.2,BG,BG,0
bg_471,0,312910.7,2703692.6,BG,BG,0
bg_472,0,218420.5,2463764.5,BG,BG,0
bg_473,0,344504.4,2473487.7,BG,BG,0
bg_474,0,345233.0,2746853.4,BG,BG,0
bg_475,0,296291.8,2792378.1,BG,BG,0
bg_476,0,345388.5,2725743.3,BG,BG,0
bg_477,0,223886.6,2720459.1,BG,BG,0
bg_478,0,152811.6,2623897.5,BG,BG,0
bg_479,0,241866.8,2675674.8,BG,BG,0
bg_480,0,285812.8,2642132.8,BG,BG,0
bg_481,0,316128.3,2777310.9,BG,BG,0
bg_482,0,171885.9,2508852.3,BG,BG,0
bg_483,0,155055.0,2756009.2,BG,BG,0
bg_484,0,263404.3,2767797.2,BG,BG,0
bg_485,0,194716.2,2444022.5,BG,BG,0
bg_486,0,316418.8,2765567.3,BG,BG,0
bg_487,0,211042.4,2575152.4,BG,BG,0
bg_488,0,178235.0,2779579.4,BG,BG,0
bg_489,0,211481.6,2607197.4,BG,BG,0
bg_490,0,169632.8,2757158.5,BG,BG,0
bg_491,0,177404.1,2592384.6,BG,BG,0
bg_492,0,285438.2,2702393.2,BG,BG,0
bg_493,0,341086.8,2579268.2,BG,BG,0
bg_494,0,299938.3,2478718.7,BG,BG,0
bg_495,0,233806.7,2457628.2,BG,BG,0
bg_496,0,248848.1,2575084.0,BG,BG,0
bg_497,0,342207.3,2432432.2,BG,BG,0
bg_498,0,224847.1,2588485.6,BG,BG,0
bg_499,0,342012.1,2745071.1,BG,BG,0
bg_500,0,170069.6,2680558.5,BG,BG,0
bg_501,0,259982.1,2791580.2,BG,BG,0
bg_502,0,222452.1,2571293.1,BG,BG,0
bg_503,0,188341.3,2466420.7,BG,BG,0
bg_504,0,321302.7,2592792.6,BG,BG,0
bg_505,0,283879.3,2663847.7,BG,BG,0
bg_506,0,270623.5,2428115.8,BG,BG,0
bg_507,0,308932.5,2512556.2,BG,BG,0
bg_508,0,175436.6,2634539.6,BG,BG,0
bg_509,0,163859.3,2710759.8,BG,BG,0
bg_510,0,191845.8,2502061.5,BG,BG,0
bg_511,0,325678.5,2544852.6,BG,BG,0
bg_512,0,179805.9,2762201.8,BG,BG,0
bg_513,0,150572.8,2746194.3,BG,BG,0
bg_514,0,179227.0,2469397.0,BG,BG,0
bg_515,0,200632.1,2486308.9,BG,BG,0
bg_516,0,283533.6,2429796.5,BG,BG,0
bg_517,0,153001.8,2720194.2,BG,BG,0
bg_518,0,198062.2,2543033.2,BG,BG,0
bg_519,0,185197.7,2439911.6,BG,BG,0
bg_520,0,299827.0,2619912.5,BG,BG,0
bg_521,0,300624.4,2600973.5,BG,BG,0
bg_522,0,307159.4,2615030.4,BG,BG,0
bg_523,0,172028.9,2611458.7,BG,BG,0
bg_524,0,340974.0,2436478.7,BG,BG,0
bg_525,0,308211.9,2749452.7,BG,BG,0
bg_526,0,255333.1,2594056.2,BG,BG,0
bg_527,0,344733.3,2443113.7,BG,BG,0
bg_528,0,246754.3,2572614.6,BG,BG,0
bg_529,0,288591.7,2606302.2,BG,BG,0
bg_530,0,333759.6,2447926.5,BG,BG,0
bg_531,0,166319.7,2651153.0,BG,BG,0
bg_532,0,163267.8,2524506.1,BG,BG,0
bg_533,0,277881.5,2628375.4,BG,BG,0
bg_534,0,215687.5,2797958.5,BG,BG,0
bg_535,0,257172.5,2592411.9,BG,BG,0
